Date,yield_2y10y,yield_3m10y,hy_spread,hy_spread_vel,vix_level,vix_change_30d,aaii_bull_bear,trends_fear,claims_ma4_chg,cfnai_ma3,lei_mom,sector_rotation,crash_label
1996-05-31,0.58,1.67,3.79,0.6299999999999999,16.14636369185014,-2.587439823842219,5.3062686822877225,18.25,0.0,0.2266666666666666,7.185628742514982,-16.02659774072904,0
1996-06-30,0.62,1.55,3.79,0.6299999999999999,16.395000171661376,1.5398914861352697,15.02921795184319,18.25,-0.21834061135370675,0.38999999999999996,16.201117318435763,-16.02659774072904,0
1996-07-31,0.58,1.48,3.79,0.6299999999999999,17.97863635149869,9.659262965880377,16.372332291787842,18.25,-0.7363770250368162,0.2666666666666666,-3.8461538461538547,-16.02659774072904,0
1996-08-31,0.62,1.67,3.79,0.6299999999999999,15.760454698042436,-12.33787485373632,-3.8111728435843446,18.25,0.22556390977443996,0.20999999999999994,0.0,-16.02659774072904,0
1996-09-30,0.62,1.58,3.79,0.6299999999999999,16.578000020980834,5.187320661756956,26.64629661432623,18.25,1.4053254437869755,0.19333333333333327,-13.5,-16.02659774072904,0
1996-10-31,0.6,1.2,3.79,0.6299999999999999,16.381739201753035,-1.1838630653843274,2.5915649839169888,18.25,0.2958579881656709,0.18999999999999995,-5.780346820809257,-16.02659774072904,0
1996-11-30,0.47,0.93,3.79,0.6299999999999999,15.996999740600586,-2.3485873899840692,1.2116183648794134,18.25,-0.1481481481481528,0.27999999999999997,-9.202453987730053,-16.02659774072904,0
1996-12-31,0.55,1.22,3.79,0.6299999999999999,19.260952449980238,20.403530426369265,-3.137285160385588,18.25,1.7998560115190854,0.19999999999999996,-2.0270270270270285,-16.02659774072904,0
1997-01-31,0.59,1.38,3.79,0.6299999999999999,19.473181551153008,1.1018619236194072,12.269393299821232,18.25,-1.238164603059,0.27333333333333326,11.03448275862069,-16.02659774072904,0
1997-02-28,0.47,1.34,3.79,0.6299999999999999,20.139473563746403,3.4215878429682878,21.036375044743323,18.25,-1.3835511145272816,0.3833333333333333,13.043478260869556,-16.02659774072904,0
1997-03-31,0.47,1.57,3.79,0.6299999999999999,20.169999980926512,0.1515750502786739,16.874459178136064,18.25,0.3144654088050425,0.4633333333333332,10.439560439560424,-16.02659774072904,0
1997-04-30,0.43,1.44,3.79,0.6299999999999999,19.662272626703437,-2.517240231547846,14.05150370484104,18.25,0.92592592592593,0.3999999999999999,-4.975124378109442,-16.02659774072904,0
1997-05-31,0.45,1.71,3.79,0.6299999999999999,19.9247620900472,1.3349904577524496,-10.246769519153766,18.25,-1.6178736517719616,0.19999999999999996,6.806282722513091,-16.02659774072904,0
1997-06-30,0.43,1.26,3.79,0.6299999999999999,20.194285983131046,1.3527082123528933,5.593974010159169,18.25,0.0768639508070823,0.22666666666666666,-4.90196078431373,-16.02659774072904,0
1997-07-31,0.28,0.77,3.79,0.6299999999999999,20.529090881347656,1.6579189702289332,7.272439379058703,18.25,-1.233616037008478,0.4166666666666667,4.639175257731942,-16.02659774072904,0
1997-08-31,0.37,1.1,3.79,0.6299999999999999,23.084762028285436,12.4490225198419,19.79481322378377,18.25,0.909780136467031,0.43999999999999995,-22.167487684729046,-16.02659774072904,0
1997-09-30,0.32,1.06,3.79,0.6299999999999999,23.812380836123513,3.1519441566975503,14.660242958704108,18.25,-1.1755485893416906,0.5233333333333333,22.151898734177202,-16.02659774072904,0
1997-10-31,0.21,0.63,3.79,0.6299999999999999,23.870869760927945,0.24562401049670335,5.97840576593925,18.25,-0.8792965627497984,0.4533333333333333,4.663212435233155,-16.02659774072904,0
1997-11-30,0.1,0.64,3.79,0.6299999999999999,32.034737034847865,34.20012490404773,28.233600687476503,18.25,0.3984063745019917,0.5599999999999999,1.4851485148514865,-16.02659774072904,0
1997-12-31,0.09,0.39,3.79,0.6299999999999999,26.276363719593395,-17.975403728116845,3.4192852868861934,18.25,-1.1829652996845463,0.37000000000000005,1.9512195121951237,-16.02659774072904,0
1998-01-31,0.21,0.34,3.79,0.6299999999999999,23.866499996185304,-9.17122227841266,-16.52308601254351,18.25,0.23237800154918276,0.3266666666666667,-10.047846889952151,-16.02659774072904,0
1998-02-28,0.07,0.3,3.79,0.6299999999999999,19.99894724394146,-16.204943133102944,27.701232883198767,18.25,0.15698587127157548,0.2333333333333333,-0.5319148936170137,-16.02659774072904,0
1998-03-31,0.07,0.51,3.79,0.6299999999999999,20.158636353232644,0.7984875770876476,-7.80632035227039,18.25,-0.39525691699604515,0.21,-11.229946524064182,-16.02659774072904,1
1998-04-30,0.09,0.68,3.79,0.6299999999999999,22.028571446736652,9.276099140526162,18.39210197765256,18.25,-0.08032128514056103,0.18666666666666668,13.25301204819278,-16.02659774072904,1
1998-05-31,0.03,0.53,3.79,0.6299999999999999,20.873999786376952,-5.241246184081261,22.912228268193623,18.25,1.4586709886547755,0.17,5.319148936170226,-16.02659774072904,1
